alcohol_id,alcohol_type,origin,alcohol_age,alcohol_cost,ABV,tasting_note,tasting_score,flavor_profile,flavor_type_rating
1,whiskey,"ri(1) // Kentucky, USA",NAS,2,46.0,"""The spice notes are quite pronounced on the nose and in fact are a bit prickly. Once you jump that hurdle, you'll discover a sticky sweet and vanilla'd underlining. The rye is on the thin side and bitter and dry with a bit of leather on the palate. As you exhale, you'll find lots of char smoke and red apple skins. This is a decent rye, but there are older (and better) whiskeys on the market sold for much less.""",82,"{""smoky"":55,""peaty"":0,""spicy"":85,""herbal"":30,""oily"":5,""full_bodied"":30,""rich"":25,""sweet"":50,""briny"":0,""salty"":0,""vanilla"":75,""tart"":20,""fruity"":50,""floral"":10}",3.25
2,agave,Sauza // Mexico,,1,,,,,
3,whiskey,"10th Mountain  // Vail, Colorado, USA",nas,3,46.0,"""On the nose, the whiskey is obviously young and raw. There's a lot of wood, grain, and alcohol, but also  some cherry, peaches and cream, and even a faint metallic taste of copper. In the mouth, it's mellower than the nose would lead one to believe; it”s very fruity and floral, with additional flavors of wood, sawdust, and dried apricot. There's a bit of chocolate and mint in the very short finish.
""",75,"{""smoky"":10,""peaty"":0,""spicy"":20,""herbal"":30,""oily"":40,""full_bodied"":50,""rich"":60,""sweet"":70,""briny"":0,""salty"":0,""vanilla"":70,""tart"":40,""fruity"":80,""floral"":80}",3.35
4,whiskey,"California, USA",,1,46.0,,,,3.56
5,agave,"123 Spirits // Tequila Valley, Jalisco, Mexico",,3,,,,"{""smoky"":58,""earthy"":68,""spicy"":82,""herbal"":73,""oily"":76,""bitter"":73,""rich"":89,""sweet"":75,""mineral"":70,""salty"":74,""umami"":77,""tart"":64,""fruity"":77,""floral"":72}",
6,agave,"Tequila Valley, Jalisco, Mexico",,3,,,,"{""smoky"":68,""earthy"":75,""spicy"":74,""herbal"":84,""oily"":75,""bitter"":68,""rich"":76,""sweet"":78,""mineral"":72,""salty"":78,""umami"":78,""tart"":70,""fruity"":82,""floral"":71}",
7,whiskey,"Thirteenth Colony Distilleries // Georgia, USA",NAS,2,42.5,,,,3.62
8,whiskey,"Thirteenth Colony Distilleries // Georgia, USA",NAS,2,47.5,,,,3.88
9,whiskey,"Barton 1792 // Kentucky, USA",12 Year,2,48.3,"""The 1792 12-year has many of the same flavor traits of it younger siblings, while expressing its maturity through a host of more subtle and precise characteristics.  The familiar sweetness comes through in a rich and layered maple syrup note that is countered by drier, rye-influenced Turkish apricot aromas.  This bourbon rolls across the palate with a round and creamy structure that, while not overly complex, is immensely enjoyable and well balanced.""",88,"{""smoky"":40,""peaty"":0,""spicy"":65,""herbal"":30,""oily"":80,""full_bodied"":80,""rich"":90,""sweet"":80,""briny"":0,""salty"":0,""vanilla"":75,""tart"":30,""fruity"":65,""floral"":40}",3.9
10,whiskey,"Kentucky, USA",,2,50.0,,,,3.98
11,whiskey,"Barton 1792 // Kentucky, USA",NAS,2,50.0,"""Apples, pears, baking spice, and leather tickle the nose. The palate takes on an unexpected richness, with toffee adding a base to the fruity and spicy elements. The finish is deep, well rounded, and satisfying. For those looking for a classic bourbon with a bit of heft without going too over-the-top, this is a good one to reach for. """,89,"{""smoky"":5,""peaty"":0,""spicy"":25,""herbal"":5,""oily"":5,""full_bodied"":60,""rich"":70,""sweet"":65,""briny"":0,""salty"":5,""vanilla"":30,""tart"":10,""fruity"":20,""floral"":0}",3.72
12,whiskey,"KY, USA",,3,62.5,,,,3.86
13,whiskey,"Kentucky, USA",,2,62.8,,,,4.13
14,whiskey,"Barton 1792 // Kentucky, USA",NAS ,2,62.5,"""Scents of honey, bananas, pears and golden apple waft from the glass along with some faint phenol notes. These sweet and fruity aromas are repeated on the palate with a taste similar to Honey Nut Cheerios cereal sprinkled with cinnamon and clove. Some lemon oil tartness and slight bitterness come out in the finish. This bourbon definitely needs a big ice cube to smooth out the flavors and soften the alcoholic heat. """,87,"{""smoky"":10,""peaty"":0,""spicy"":25,""herbal"":0,""oily"":20,""full_bodied"":80,""rich"":75,""sweet"":70,""briny"":0,""salty"":0,""vanilla"":30,""tart"":15,""fruity"":40,""floral"":0}",3.88
